ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseLightRank,baseDarkRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
Armor#def,ArmorName,ArmorDesc,0x9,0xb,0x6,0x1,ArmorCard,0xc,20,6,2,2,10,0,13,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,DRank,DRank,0,0,0,0,0,0,ArmorAnimEntry|IsPointer,pArmorMoveCost,pArmorMoveCost,pArmorMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,ArmorType
Armour Knight (F),0x2c3,0x30f,0xa,0xc,0x6,0x1,0x76,0xc,16,4,3,1,8,1,10,4,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,31,0,0,0,0,0,0,0x88af054,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
General#def,GeneralName,GeneralDesc,0xb,0x9,GeneralStandMapSprite,0x1,GeneralCard,0xd,25,9,3,4,13,0,15,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,DRank,DRank,0,DRank,0,0,0,0,GeneralAnimEntry|IsPointer,pArmorMoveCost,pArmorMoveCost,pArmorMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,ArmorType
General (F),0x2c4,0x310,0xc,0xa,0x7,0x1,0x77,0xd,20,8,5,5,11,4,11,5,60,27,28,25,29,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,1,71,1,0,0,0,0,0,0x88af080,0x880b88a,0x880bcdb,0x880c0eb,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief#def,ThiefName,ThiefDesc,0xd,0x17,0x8,0x0,ThiefCard,0x7,16,3,1,10,2,0,6,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0xc,DRank,0,0,0,0,0,0,0,ThiefAnimEntry|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,ThiefType
Manakete,0x2d7,0x323,0xe,0x1f,0x9,0x0,0x8f,0x1f,12,0,0,2,2,2,5,8,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40000,0,0,0,0,0,0,0,0,0x88af0ac,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mercenary#def,MercenaryName,MercenaryDesc,0xf,0x11,0xa,0x0,0x90,0x3,16,7,8,7,3,0,9,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,DRank,0,0,0,0,0,0,0,MercenaryAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Mercenary_F#def,MercenaryName,MercenaryDesc,0x10,0x12,Mercenary_FStandMapSprite,0x0,0x90,0x3,16,7,8,7,3,0,9,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,DRank,0,0,0,0,0,0,0,Mercenary_FAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero#def,HeroName,HeroDesc,0x11,0xf,0xc,0x0,0x91,0x4,22,8,10,11,5,3,11,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,DRank,0,DRank,0,0,0,0,0,0x88af0d0,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Hero_F#def,HeroName,HeroDesc,0x12,0x10,0xd,0x0,0x91,0x4,22,8,10,11,5,3,11,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,DRank,0,DRank,0,0,0,0,0,Hero_FAnimEntry|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon#def,MyrmidonName,MyrmidonDesc,0x13,0x15,0xe,0x0,0x72,0x5,16,3,11,11,2,1,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20000,DRank,0,0,0,0,0,0,0,MyrmidonAnimEntry|IsPointer,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Myrmidon_F#def,MyrmidonName,MyrmidonDesc,0x14,0x16,0xf,0x0,0x72,0x5,16,3,11,11,2,1,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20000,DRank,0,0,0,0,0,0,0,0x88af114,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster#def,SwordmasterName,SwordmasterDesc,0x15,0x13,0x10,0x0,0x73,0x6,18,5,13,13,3,2,10,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20140,DRank,0,0,0,0,0,0,0,0x88af120,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Swordmaster_F#def,SwordmasterName,SwordmasterDesc,0x16,0x14,0x11,0x0,0x73,0x6,18,5,13,13,3,2,10,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20140,DRank,0,0,0,0,0,0,0,0x88af12c,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Thief_F#def,ThiefName,ThiefDesc,0x17,0x33,Thief_FStandMapSprite,0x0,0x8e,0x8,16,3,1,10,2,0,6,6,60,20,30,30,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0xc,DRank,0,0,0,0,0,0,0,Thief_FAnimEntry|IsPointer,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,ThiefType
Assassin (F),0x2ca,0x316,0x18,0xd,0x13,0x0,0x8e,0x8,16,3,1,9,2,0,6,6,60,20,30,30,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x2020108,31,0,0,0,0,0,0,0,0x88af144,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer#def,ArcherName,ArcherDesc,0x19,0x1b,0x14,0x0,0x78,0xa,18,6,4,6,3,0,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x80,0,0,0,DRank,0,0,0,0,0x88af150,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Archer_F#def,ArcherName,ArcherDesc,0x1a,0x1c,0x15,0x0,0x78,0xa,18,6,4,6,3,0,8,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x80,0,0,0,DRank,0,0,0,0,0x88af168,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper#def,SniperName,SniperDesc,0x1b,0x19,0x16,0x0,0x79,0xb,22,8,7,9,4,1,10,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x180,0,0,0,DRank,0,0,0,0,0x88af180,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Sniper_F#def,SniperName,SniperDesc,0x1c,0x1a,0x17,0x0,0x79,0xb,22,8,7,9,4,1,10,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x180,0,0,0,DRank,0,0,0,0,0x88af198,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger,0x2cd,0x319,0x1d,0x19,0x18,0x0,0x97,0xc,21,7,6,7,6,3,9,7,60,25,28,30,24,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,31,0,0,31,0,0,0,0,0x88af1b0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
Ranger (F),0x2cd,0x319,0x1e,0x1a,0x18,0x0,0x97,0xc,21,6,6,7,5,4,8,7,60,23,28,30,22,25,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,31,0,0,31,0,0,0,0,0x88af1c0,0x880bb55,0x880bfa6,0x880c3b6,0x880c479,0x880c4ba,0x880c4fb,0x0
WyvernRider#def,WyvernRiderName,WyvernRiderDesc,0x1f,0x21,WyvernRiderStandMapSprite,0x0,WyvernRiderCard,0xd,20,7,2,4,7,0,10,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x803,0,0,DRank,0,0,0,0,0,WyvernRiderAnimEntry|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,FlyingType|DragonType
Wyvern Rider (F),0x2ce,0x31a,0x20,0x22,0x1a,0x0,0x88,0xd,19,6,5,5,7,0,9,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x803,0,0,DRank,0,0,0,0,0,0x88af1dc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
WyvernLord#def,WyvernLordName,WyvernLordDesc,0x21,0x1f,0x1b,0x0,0x89,0xe,24,9,3,6,9,0,12,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x903,0,DRank,DRank,0,0,0,0,0,WyvernLordAnimEntry|IsPointer,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,FlyingType|DragonType
Wyvern Lord (F),0x2cf,0x31b,0x22,0x20,0x1c,0x0,0x89,0xe,24,8,7,7,9,2,10,8,60,25,26,24,27,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x903,31,71,0,0,0,0,0,0,0x88af1f8,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight,0x2d0,0x31c,0x23,0x1f,0x1d,0x0,0x93,0xf,20,7,7,8,7,1,10,8,60,25,26,28,24,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x903,0,71,0,0,0,0,0,0,0x88af208,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Wyvern Knight (F),0x2d0,0x31c,0x24,0x20,0x1d,0x0,0x93,0xf,19,6,8,9,6,2,9,8,60,24,27,29,23,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x903,0,71,0,0,0,0,0,0,0x88af214,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Mage#def,MageName,MageDesc,0x25,0x27,0x1e,0x0,0x7c,0x12,16,3,1,3,2,3,6,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,DRank,0,0,0x88af220,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Mage_F#def,MageName,MageDesc,0x26,0x28,0x1f,0x0,0x7c,0x12,16,3,1,3,2,3,6,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,DRank,0,0,0x88af234,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Sage#def,SageName,SageDesc,0x27,0x25,0x20,0x0,0x7d,0x13,22,4,2,4,3,5,8,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,0,DRank,DRank,0,0,0x88af248,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Sage#def,SageName,SageDesc,0x28,0x26,0x21,0x0,0x7d,0x13,22,4,2,4,3,5,8,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,0,DRank,DRank,0,0,0x88af260,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Mage Knight,0x2d3,0x31f,0x29,0x25,0x22,0x0,0x95,0x14,20,4,3,5,5,5,8,7,60,24,26,25,24,25,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,0,0,0,0,31,71,0,0,0x88af278,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Mage Knight (F),0x2d3,0x31f,0x2a,0x26,0x23,0x0,0x95,0x14,19,3,5,6,3,6,6,7,60,25,24,25,24,28,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,0,0,0,0,31,71,0,0,0x88af290,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Bishop#def,BishopName,BishopDesc,0x2b,0x45,0x24,0x0,0x7b,0x18,22,3,2,4,4,8,8,5,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,0,DRank,DRank,0,0,0x88af2a8,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Bishop_F#def,BishopName,BishopDesc,0x2c,0x4a,0x25,0x0,0x7b,0x18,22,3,2,4,4,8,8,5,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,0,DRank,DRank,0,0,0x88af2c0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,MageType
Nomad#def,NomadName,NomadDesc,0x2d,0x2f,NomadStandMapSprite,0x1,NomadCard,0x1b,16,5,7,9,3,0,7,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,0,0,0,DRank,0,0,0,0,NomadAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
Nomad_F#def,NomadName,NomadDesc,0x2e,0x30,Nomad_FStandMapSprite,0x1,NomadCard,0x1b,16,5,7,9,3,0,7,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,0,0,0,DRank,0,0,0,0,Nomad_FAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
NomadTrooper#def,NomadTrooperName,NomadTrooperDesc,0x2f,0x2d,NomadTrooperStandMapSprite,0x1,NomadTrooperCard,0x1c,21,7,10,11,5,1,9,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon|IsPromoted,DRank,0,0,DRank,0,0,0,0,NomadTrooperAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
NomadTrooper#def,NomadTrooperName,NomadTrooperDesc,0x30,0x2e,NomadTrooper_FStandMapSprite,0x1,NomadTrooperCard,0x1c,21,7,10,11,5,1,9,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon|IsPromoted,DRank,0,0,DRank,0,0,0,0,NomadTrooper_FAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
HeavyCavalier#def,HeavyCavalierName,HeavyCavalierDesc,0x31,0x2d,HeavyCavalierStandMapSprite,0x0,HeavyCavalierCard,0x1d,20,6,2,5,8,0,10,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,DRank,0,DRank,0,0,0,0,0,HeavyCavalierAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
HeavyCavalier_F#def,HeavyCavalierName,HeavyCavalierDesc,0x32,0x2e,HeavyCavalier_FStandMapSprite,0x0,HeavyCavalierCard,0x1d,20,6,2,5,8,0,10,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,DRank,0,DRank,0,0,0,0,0,HeavyCavalierAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,HorseType
Rogue#def,RogueName,RogueDesc,0x33,0xd,0x29,0x0,0x94,0x9,19,4,3,13,3,1,7,6,60,20,30,30,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x10c,1,0,0,0,0,0,0,0,0x88af360,0x880b9cf,0x880be20,0x880c230,0x880c479,0x880c4ba,0x880c4fb,0x0
Gorgon Egg,0x300,0x34c,0x34,0x0,0x2a,0x0,0xa6,0x0,50,0,0,0,10,10,6,0,60,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x880c479,0x880c4ba,0x880c4fb,0x0
GreatKnight#def,GreatKnightName,GreatKnightDesc,0x35,0x9,0x2b,0x1,0x96,0x22,24,8,4,7,10,0,12,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon|IsPromoted,DRank,0,DRank,0,0,0,0,0,0x88af36c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,HorseType|ArmorType
Great Knight (F),0x2e0,0x32b,0x36,0xa,0x2b,0x1,0x96,0x22,24,8,4,7,10,0,12,8,60,26,26,25,28,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x503,1,31,31,0,0,0,0,0,0x88af38c,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
Recruit (2),0x2da,0x332,0x37,0x3a,0x2c,0x0,0x8a,0x28,18,5,3,3,6,0,6,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,31,0,0,0,0,0,0,0x88af3ac,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Journeyman (3),0x2d8,0x324,0x38,0x7e,0x2d,0x0,0x74,0x27,28,8,5,6,5,0,8,6,60,26,29,28,23,23,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x140,0,0,71,0,0,0,0,0,0x88af3b8,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Pupil (3),0x2d9,0x325,0x39,0x7f,0x2e,0x0,0x7c,0x29,20,5,4,4,5,5,5,6,60,29,28,27,21,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x100,0,0,0,0,0,71,1,31,0x88af3d0,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Recruit (3),0x2da,0x332,0x3a,0x37,0x2c,0x0,0x8a,0x28,23,6,6,11,7,6,6,6,60,23,30,29,22,26,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x140,0,71,0,0,0,0,0,0,0x88af3e4,0x880b849,0x880bc9a,0x880c0aa,0x880c479,0x880c4ba,0x880c4fb,0x0
Manakete,0x2d7,0x323,0x3b,0x1f,0x2f,0x0,0xa9,0x1f,20,0,0,2,1,1,25,3,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40100,0,0,0,0,0,0,0,0,0x88af3f0,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Manakete (F),0x2d7,0x323,0x3c,0x20,0x30,0x0,0x8f,0x1f,12,0,0,2,2,2,5,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x40000,0,0,0,0,0,0,0,0,0x88af3fc,0x880bb96,0x880bfe7,0x880c3f7,0x880c53c,0x880c57d,0x880c5be,0x0
Journeyman (1),0x2d8,0x324,0x3d,0x0,0x2d,0x0,0x74,0x27,14,3,0,1,1,0,8,4,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x80000,0,0,1,0,0,0,0,0,0x88af408,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter_F#def,FighterName,FighterDesc,0x3e,0x0,Fighter_FStandMapSprite,0x0,0x74,0x29,20,8,5,5,4,0,12,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,DRank,0,0,0,0,0,Fighter_FAnimEntry|IsPointer,0x880ba10,0x880be61,0x880c271,0x880c479,0x880c4ba,0x880c4fb,0x0
Fighter#def,FighterName,FighterDesc,0x3f,0x40,0x31,0x0,0x74,0x23,20,8,5,5,4,0,12,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,DRank,0,0,0,0,0,0x88af434,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior#def,WarriorName,WarriorDesc,0x40,0x3f,0x32,0x0,0x75,0x25,26,9,7,7,6,0,14,6,60,30,28,26,26,22,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,0,DRank,DRank,0,0,0,0,0x88af44c,0x880b8cb,0x880bd1c,0x880c12c,0x880c479,0x880c4ba,0x880c4fb,0x0
Warrior_F#def,WarriorName,WarriorDesc,0x41,0x43,Warrior_FStandMapSprite,0x0,0x75,0x0,26,9,7,7,6,0,14,6,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,IsPromoted,0,0,DRank,DRank,0,0,0,0,Warrior_FAnimEntry,0x880b94d,0x880bd9e,0x880c1ae,0x880c479,0x880c4ba,0x880c4fb,0x0
Pirate#def,PirateName,PirateDesc,0x42,0x43,0x34,0x0,0x8c,0x24,19,4,2,6,3,0,10,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x0,0,0,DRank,0,0,0,0,0,0x88af480,0x880b98e,0x880bddf,0x880c1ef,0x880c479,0x880c4ba,0x880c4fb,0x0
